"Author","Quote"
"William Shakespeare","He that is giddy thinks the world turns round."
"Ellen Gilchrist","Don't ruin the present with the ruined past."
"Albert Schweitzer","Do something wonderful, people may imitate it."
"","We do what we do because we believe."
"Eleanor Roosevelt","Do one thing every day that scares you."
"Byron Pulsifer","If you cannot be silent be brilliant and thoughtful."
"Carl Jung","Who looks outside, dreams; who looks inside, awakes."
"Buddha","What we think, we become."
"Lord Herbert","The shortest answer is doing."
"Leonardo da Vinci","All our knowledge has its origins in our perceptions."
"","The harder you fall, the higher you bounce."
"Anne Wilson Schaef","Trusting our intuition often saves us from disaster."
"Sojourner Truth","Truth is powerful and it prevails."
"Elizabeth Browning","Light tomorrow with today!"
"German proverb","Silence is a fence around wisdom."
"Madame de Stael","Society develops wit, but its contemplation alone forms genius."
"Richard Bach","The simplest things are often the truest."
"","Everyone smiles in the same language."
"Bernadette Devlin","Yesterday I dared to struggle. Today I dare to win."
"Napoleon Hill","No alibi will save you from accepting the responsibility."
"Walt Disney","If you can dream it, you can do it."
"Buddha","It is better to travel well than to arrive."
"Anais Nin","Life shrinks or expands in proportion to one's courage."
"Sun Tzu","You have to believe in yourself."
"Wayne Dyer","Our intention creates our reality."
"Confucius","Silence is a true friend who never betrays."
"Johann Wolfgang von Goethe","Character develops itself in the stream of life."
"American proverb","From little acorns mighty oaks do grow."
"Jon Kabat-Zinn","You can't stop the waves, but you can learn to surf."
"Gustave Flaubert","Reality does not conform to the ideal, but confirms it."
"William Shakespeare","Speak low, if you speak love."
"Johann Wolfgang von Goethe","A really great talent finds its happiness in execution."
"John Lennon","Reality leaves a lot to the imagination."
"Seneca","The greatest remedy for anger is delay."
"Pearl Buck","Growth itself contains the germ of happiness."
"","You can do what's reasonable or you can decide what's possible."
"Leonardo da Vinci","Nothing strengthens authority so much as silence."
"Confucius","Wherever you go, go with all your heart."
"Albert Einstein","The only real valuable thing is intuition."
"Ralph Emerson","Good luck is another name for tenacity of purpose."
"Sylvia Voirol","Rainbows apologize for angry skies."
"","Friendship isn't a big thing. It's a million little things."
"Theophrastus","Time is the most valuable thing a man can spend."
"Tony Robbins","Whatever happens, take responsibility."
"Oscar Wilde","Experience is simply the name we give our mistakes."
"Wayne Dyer","I think and that is all that I am."
"","A good plan today is better than a perfect plan tomorrow."
"Gloria Steinem","If the shoe doesn't fit, must we change the foot?"
"Marcus Aurelius","Each day provides its own gifts."
"Publilius Syrus","While we stop to think, we often miss our opportunity."
"Bernard Shaw","Life isn't about finding yourself. Life is about creating yourself."
"Richard Bach","To bring anything into your life, imagine that it's already there."
"German proverb","Begin to weave and God will give you the thread."
"Confucius","The more you know yourself, the more you forgive yourself."
"","Someone remembers, someone cares; your name is whispered in someone's prayers."
"Mary Bethune","Without faith, nothing is possible. With it, nothing is impossible."
"Albert Einstein","Once we accept our limits, we go beyond them."
"","Don't be pushed by your problems; be led by your dreams."
"Brian Tracy","Whatever we expect with confidence becomes our own self-fulfilling prophecy."
"Pablo Picasso","Everything you can imagine is real."
"Usman Asif","Fear is a darkroom where negatives develop."
"Napoleon Bonaparte","The truest wisdom is a resolute determination."
"Victor Hugo","Life is the flower for which love is the honey."
"Epictetus","Freedom is the right to live as we wish."
"","Change your thoughts, change your life!"
"Robert Heller","Never ignore a gut feeling, but never believe that it's enough."
"Marcus Aurelius","Loss is nothing else but change,and change is Natures delight."
"Byron Pulsifer","Someone is special only if you tell them."
"","Today is the tomorrow you worried about yesterday."
"Thich Nhat Hanh","There is no way to happiness, happiness is the way."
"","The day always looks brighter from behind a smile."
"","A stumble may prevent a fall."
"Lao Tzu","He who talks more is sooner exhausted."
"Lao Tzu","He who is contented is rich."
"Plutarch","What we achieve inwardly will change outer reality."
"Ralph Waldo Emerson","Our strength grows out of our weaknesses."
"Mahatma Gandhi","We must become the change we want to see."
"Napoleon Hill","Happiness is found in doing, not merely possessing."
"","Put your future in good hands : your own."
"Wit","We choose our destiny in the way we treat others."
"Voltaire","No snowflake in an avalanche ever feels responsible."
"Virgil","Fortune favours the brave."
"Joseph Stalin","I believe in one thing only, the power of human will."
"Robert Frost","The best way out is always through."
"Seneca","The mind unlearns with difficulty what it has long learned."
"Abraham Lincoln","I destroy my enemies when I make them my friends."
"Thomas Fuller","No garden is without its weeds."
"Elbert Hubbard","There is no failure except in no longer trying."
"Turkish proverb","Kind words will unlock an iron door."
"Hugh Miller","Problems are only opportunities with thorns on them."
"A. Powell Davies","Life is just a chance to grow a soul."
"Johann Wolfgang von Goethe","Mountains cannot be surmounted except by winding paths."
"Thich Nhat Hanh","May our hearts garden of awakening bloom with hundreds of flowers."
"John Dryden","Fortune befriends the bold."
"Friedrich von Schiller","Keep true to the dreams of thy youth."
"Mike Ditka","You're never a loser until you quit trying."
"Immanuel Kant","Science is organized knowledge. Wisdom is organized life."
"Johann Wolfgang von Goethe","Knowing is not enough; we must apply!"
"Richard Bach","Strong beliefs win strong men, and then make them stronger."
"Albert Camus","Autumn is a second spring when every leaf is a flower."
"Toni Morrison","If you surrender to the wind, you can ride it."
"Helen Keller","Keep yourself to the sunshine and you cannot see the shadow."
"Paulo Coelho","Write your plans in pencil and give God the eraser."
"Pablo Picasso","Inspiration exists, but it has to find us working."
"Jonathan Kozol","Pick battles big enough to matter, small enough to win."
"Janis Joplin","Don't compromise yourself. You are all you've got."
"Sophocles","A short saying oft contains much wisdom."
"Epictetus","Difficulties are things that show a person what they are."
"Honore de Balzac","When you doubt your power, you give power to your doubt."
"Ovid","The cause is hidden. The effect is visible to all."
"Francis Bacon","A prudent question is one half of wisdom."
"Tony Robbins","The path to success is to take massive, determined action."
"Manuel Puig","I allow my intuition to lead my path."
"William R. Inge","Nature takes away any faculty that is not used."
"Epictetus","If you wish to be a writer, write."
"Wayne Dyer","There is no way to prosperity, prosperity is the way."
"Jim Rohn","Either you run the day or the day runs you."
"Publilius Syrus","Better be ignorant of a matter than half know it."
"Oprah Winfrey","Follow your instincts. That is where true wisdom manifests itself."
"Benjamin Franklin","There never was a good knife made of bad steel."
"Anatole France","To accomplish great things, we must dream as well as act."
"Saint Augustine","Patience is the companion of wisdom."
"Buddha","The mind is everything. What you think you become."
"Voltaire","To enjoy life, we must touch much of it lightly."
"Maya Lin","To fly, we have to have resistance."
"","What you see depends on what you're looking for."
"Blaise Pascal","The heart has its reasons which reason knows not of."
"William Shakespeare","Be great in act, as you have been in thought."
"Napoleon Bonaparte","Imagination rules the world."
"Blaise Pascal","Kind words do not cost much. Yet they accomplish much."
"Michelangelo","There is no greater harm than that of time wasted."
"Jonas Salk","Intuition will tell the thinking mind where to look next."
"","Worry gives a small thing a big shadow."
"Napoleon Hill","Fears are nothing more than a state of mind."
"Lao Tzu","The journey of a thousand miles begins with one step."
"Peter Drucker","Efficiency is doing things right; effectiveness is doing the right things."
"Luisa Sigea","Blaze with the fire that is never extinguished."
"Dr. Seuss","Don't cry because it's over. Smile because it happened."
"Jason Fried","No is easier to do. Yes is easier to say."
"Confucius","To be wrong is nothing unless you continue to remember it."
"Babe Ruth","Yesterdays home runs don't win today's games."
"Carlyle","Silence is deep as Eternity, Speech is shallow as Time."
"Leo F. Buscaglia","Don't smother each other. No one can grow in the shade."
"Lao Tzu","An ant on the move does more than a dozing ox"
"Indira Gandhi","You can't shake hands with a clenched fist."
"Plato","A good decision is based on knowledge and not on numbers."
"Confucius","The cautious seldom err."
"Frederick Douglass","If there is no struggle, there is no progress."
"Willa Cather","Where there is great love, there are always miracles."
"John Lennon","Time you enjoy wasting, was not wasted."
"Richard Bach","Every problem has a gift for you in its hands."
"Jean de la Fontaine","Sadness flies away on the wings of time."
"Publilius Syrus","I have often regretted my speech, never my silence."
"Thomas Jefferson","Never put off till tomorrow what you can do today."
"Thomas Dewar","Minds are like parachutes. They only function when open."
"George Patton","If a man does his best, what else is there?"
"Benjamin Disraeli","The secret of success is constancy to purpose."
"Ralph Emerson","Life is a progress, and not a station."
"Horace Friess","All seasons are beautiful for the person who carries happiness within."
"Elbert Hubbard","To avoid criticism, do nothing, say nothing, be nothing."
"Ovid","All things change; nothing perishes."
"Haynes Bayly","Absence makes the heart grow fonder."
"Lauren Bacall","Imagination is the highest kite one can fly."
"Frank Herbert","The beginning of knowledge is the discovery of something we do not understand."
"Elizabeth Browning","Love doesn't make the world go round, love is what makes the ride worthwhile."
"Arthur Conan Doyle","Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth."
"J. Willard Marriott","Good timber does not grow with ease; the stronger the wind, the stronger the trees."
"Dalai Lama","I believe that we are fundamentally the same and have the same basic potential."
"Edward Gibbon","The winds and waves are always on the side of the ablest navigators."
"Eleanor Roosevelt","The future belongs to those who believe in the beauty of their dreams."
"","To get something you never had, you have to do something you never did."
"","Be thankful when you don't know something for it gives you the opportunity to learn."
"Mahatma Gandhi","Strength does not come from physical capacity. It comes from an indomitable will."
"Og Mandino","Each misfortune you encounter will carry in it the seed of tomorrows good luck."
"Lewis B. Smedes","To forgive is to set a prisoner free and realize that prisoner was you."
"Buddha","In separateness lies the world's great misery, in compassion lies the world's true strength."
"Nikos Kazantzakis","By believing passionately in something that does not yet exist, we create it."
"","Letting go isn't the end of the world; it's the beginning of a new life."
"John Eliot","All the great performers I have worked with are fuelled by a personal dream."
"A. A. Milne","One of the advantages of being disorderly is that one is constantly making exciting discoveries."
"Marie Curie","I never see what has been done; I only see what remains to be done."
"Seneca","Begin at once to live and count each separate day as a separate life."
"Lawrence Peter","If you don't know where you are going, you will probably end up somewhere else."
"Hannah More","It is not so important to know everything as to appreciate what we learn."
"John Berry","The bird of paradise alights only upon the hand that does not grasp."
"William Yeats","Think as a wise man but communicate in the language of the people."
"Epictetus","Practice yourself, for heavens sake in little things, and then proceed to greater."
"Seneca","If one does not know to which port is sailing, no wind is favorable."
"","Our greatest glory is not in never failing but rising everytime we fall."
"","Being right is highly overrated. Even a stopped clock is right twice a day."
"Ken S. Keyes","To be upset over what you don't have is to waste what you do have."
"Thomas Edison","If we did the things we are capable of, we would astound ourselves."
"Marie Curie","Nothing in life is to be feared. It is only to be understood."
"Tony Robbins","Successful people ask better questions, and as a result, they get better answers."
"","Love is not blind; it simply enables one to see things others fail to see."
"Anne Schaef","Life is a process. We are a process. The universe is a process."
"Eleanor Roosevelt","I think somehow we learn who we really are and then live with that decision."
"Kenneth Patton","We learn what we have said from those who listen to our speaking."
"Kahlil Gibran","A little knowledge that acts is worth infinitely more than much knowledge that is idle."
"","If you get up one more time than you fall, you will make it through."
"Flora Whittemore","The doors we open and close each day decide the lives we live."
"H. W. Arnold","The worst bankrupt in the world is the person who has lost his enthusiasm."
"Buddha","Happiness comes when your work and words are of benefit to yourself and others."
"","Don't focus on making the right decision, focus on making the decision the right one."
"Wayne Dyer","Everything is perfect in the universe, even your desire to improve it."
"Eden Phillpotts","The universe is full of magical things, patiently waiting for our wits to grow sharper."
"Buddha","Just as a candle cannot burn without fire, men cannot live without a spiritual life."
"Mark Twain","A thing long expected takes the form of the unexpected when at last it comes."
"Benjamin Disraeli","Action may not always bring happiness; but there is no happiness without action."
"Oprah Winfrey","I don't believe in failure. It is not failure if you enjoyed the process."
"Confucius","What you do not want done to yourself, do not do to others."
"Winston Churchill","Short words are best and the old words when short are best of all."
"Buddha","If you light a lamp for somebody, it will also brighten your path."
"Lin-yutang","I have done my best: that is about all the philosophy of living one needs."
"Benjamin Disraeli","Through perseverance many people win success out of what seemed destined to be certain failure."
"Byron Pulsifer","Give thanks for the rain of life that propels us to reach new horizons."
"","Love is just a word until someone comes along and gives it meaning."
"","We all have problems. The way we solve them is what makes us different."
"Dave Weinbaum","The secret to a rich life is to have more beginnings than endings."
"Ralph Waldo Emerson","It is only when the mind and character slumber that the dress can be seen."
"Maya Angelou","If you don't like something, change it. If you can't change it, change your attitude."
"Confucius","Reviewing what you have learned and learning anew, you are fit to be a teacher."
"Augustinus Sanctus","The world is a book, and those who do not travel read only a page."
"Henri-Frederic Amiel","So long as a person is capable of self-renewal they are a living being."
"Louisa Alcott","I'm not afraid of storms, for Im learning how to sail my ship."
"Voltaire","Think for yourselves and let others enjoy the privilege to do so too."
"Annie Dillard","How we spend our days is, of course, how we spend our lives."
"Man Ray","It has never been my object to record my dreams, just to realize them."
"Sigmund Freud","The most complicated achievements of thought are possible without the assistance of consciousness."
"Wayne Dyer","Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice."
"Napoleon Hill","Most great people have attained their greatest success just one step beyond their greatest failure."
"Henry Ford","If you think you can, you can. And if you think you can't, you're right."
"St. Augustine","Better to have loved and lost, than to have never loved at all."
"Leo Tolstoy","Everyone thinks of changing the world, but no one thinks of changing himself."
"Richard Bach","The best way to pay for a lovely moment is to enjoy it."
"Winston Churchill","You have enemies? Good. That means you've stood up for something, sometime in your life."
"John De Paola","Slow down and everything you are chasing will come around and catch you."
"Buddha","Your worst enemy cannot harm you as much as your own unguarded thoughts."
"Lily Tomlin","I always wanted to be somebody, but I should have been more specific."
"John Lennon","Yeah we all shine on, like the moon, and the stars, and the sun."
"Martin Fischer","Knowledge is a process of piling up facts; wisdom lies in their simplification."
"Albert Einstein","Life is like riding a bicycle. To keep your balance you must keep moving."
"Albert Schweitzer","We should all be thankful for those people who rekindle the inner spirit."
"Thomas Edison","Opportunity is missed by most because it is dressed in overalls and looks like work."
"Albert Einstein","Feeling and longing are the motive forces behind all human endeavor and human creations."
"Johann Wolfgang von Goethe","In the end we retain from our studies only that which we practically apply."
"Lao Tzu","If you correct your mind, the rest of your life will fall into place."
"Ralph Emerson","The world makes way for the man who knows where he is going."
"Napoleon Hill","When your desires are strong enough you will appear to possess superhuman powers to achieve."
"John Adams","Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish."
"Henry David Thoreau","I cannot make my days longer so I strive to make them better."
"Chinese proverb","Tension is who you think you should be. Relaxation is who you are."
"Helen Keller","Never bend your head. Always hold it high. Look the world right in the eye."
"Albert Schweitzer","One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity."
"Calvin Coolidge","We cannot do everything at once, but we can do something at once."
"Abraham Lincoln","You have to do your own growing no matter how tall your grandfather was."
"","Invent your world. Surround yourself with people, color, sounds, and work that nourish you."
"General Douglas MacArthur","It is fatal to enter any war without the will to win it."
"Julius Charles Hare","Be what you are. This is the first step toward becoming better than you are."
"Buckminster Fuller","There is nothing in a caterpillar that tells you it's going to be a butterfly."
"Dalai Lama","Love and compassion open our own inner life, reducing stress, distrust and loneliness."
"Walter Lippmann","Ideals are an imaginative understanding of that which is desirable in that which is possible."
"Confucius","The superior man is satisfied and composed; the mean man is always full of distress."
"Bruce Lee","If you spend too much time thinking about a thing, you'll never get it done."
"Buddha","The way is not in the sky. The way is in the heart."
"Abraham Lincoln","Most people are about as happy as they make up their minds to be"
"Buddha","Three things cannot be long hidden: the sun, the moon, and the truth."
"Dalai Lama","More often than not, anger is actually an indication of weakness rather than of strength."
